duration,amplitude,abs_amplitude,direction,volatility,price_range,curvature,volume_change,avg_volume,volume_volatility,stroke_id,stroke_length,symbol,cluster
172800.0,1.0,1.0,1.0,0.4439064513056628,1.0,0.7395626242544728,0.1554119952398421,0.385137331746614,0.4393785745609832,0,3,AAPL,6
432000.0,-1.0,1.0,-1.0,0.4049356895348255,1.0,0.3167584102364822,1.0,0.3668576300993897,0.3936534737354747,1,4,AAPL,1
86400.0,-1.0,1.0,-1.0,0.5,1.0,0.0,1.0,0.5,0.5,2,2,AAPL,3
86400.0,1.0,1.0,1.0,0.5,1.0,0.0,-1.0,0.5,0.5,3,2,AAPL,0
518400.0,1.0,1.0,1.0,0.3618879723668883,1.0,0.1190470264675637,-0.1785865956296811,0.4359113195892209,0.3510497681502264,4,5,AAPL,4
172800.0,0.8543293963254572,0.8543293963254572,1.0,0.4410969460335003,1.0,1.1456706036745428,0.9810999425064668,0.3396333524978443,0.4670134793866532,5,3,AAPL,6
604800.0,0.8759903254177667,0.8759903254177667,1.0,0.3370465652541334,1.0,0.5573869173262975,-0.968933839272186,0.3009691122573788,0.356281685770351,6,6,AAPL,4
259200.0,-1.0,1.0,-1.0,0.5,1.0,0.0,-1.0,0.5,0.5,7,2,AAPL,7
345600.0,1.0,1.0,1.0,0.3935070521766886,1.0,0.210770810799669,0.7883733724555291,0.5206430710923651,0.3997053416660059,8,5,AAPL,4
864000.0,-0.8100070852239395,0.8100070852239395,-1.0,0.3761159971289277,1.0,0.3818601222611611,-0.3665609303904696,0.3663559880952777,0.3110645607027751,9,7,AAPL,9
86400.0,1.0,1.0,1.0,0.5,1.0,0.0,-1.0,0.5,0.5,10,2,AAPL,0
518400.0,0.9783637446678448,0.9783637446678448,1.0,0.3708845007074237,1.0,0.3448278193562002,0.9720018236630888,0.2803019646788974,0.3718606112898767,11,5,AAPL,4
86400.0,1.0,1.0,1.0,0.5,1.0,0.0,-1.0,0.5,0.5,12,2,AAPL,0
172800.0,-0.7384293445803007,0.7384293445803007,-1.0,0.4234379273300323,1.0,1.2615706554196993,-1.0,0.6264830356502403,0.4457158099969829,13,3,AAPL,2
604800.0,1.0,1.0,1.0,0.3562278505645534,1.0,0.212773688663281,1.0,0.3675009964558489,0.320939232301152,14,6,AAPL,4
86400.0,-1.0,1.0,-1.0,0.5,1.0,0.0,1.0,0.5,0.5,15,2,AAPL,3
604800.0,-1.0,1.0,-1.0,0.3515451160594881,1.0,0.6052689473684317,-0.8930350249505696,0.2614804004644886,0.3350034462490183,16,6,AAPL,1
432000.0,0.7374631268436608,0.7374631268436608,1.0,0.4126707160312093,1.0,0.9188812684365874,0.0240770012419555,0.6667219430958564,0.4036661430792811,17,4,AAPL,5
604800.0,-0.8142620232172473,0.8142620232172473,-1.0,0.4322200746880938,1.0,0.435324626865671,-0.8687338613904536,0.6174927092526212,0.3234579824655215,18,6,AAPL,9
86400.0,-1.0,1.0,-1.0,0.5,1.0,0.0,1.0,0.5,0.5,19,2,AAPL,3
345600.0,1.0,1.0,1.0,0.408848342305014,1.0,0.0939436325678468,-0.77436688371236,0.59145562790412,0.4282463431453214,20,3,AAPL,0
604800.0,1.0,1.0,1.0,0.3182875073227095,1.0,0.2558346997293839,-0.1335282678581004,0.2935770861616244,0.328468107242674,0,6,GOOGL,4
864000.0,0.9704180064308676,0.9704180064308676,1.0,0.3871127106323751,1.0,0.2716582544786403,0.5539127298954201,0.3621703013393563,0.3315767076306637,1,9,GOOGL,4
950400.0,-1.0,1.0,-1.0,0.3417377468512096,1.0,0.215433074096162,-0.5623984979038636,0.3757229916748048,0.2677936747750288,2,8,GOOGL,9
172800.0,1.0,1.0,1.0,0.4184669126812821,1.0,0.389951312553334,-1.0,0.5560689680049057,0.4158775360763513,3,3,GOOGL,0
345600.0,0.9330725711518548,0.9330725711518548,1.0,0.4564480868338038,1.0,1.066927428848145,0.7157333780920211,0.5719111260306736,0.4207244784424428,4,3,GOOGL,6
345600.0,-1.0,1.0,-1.0,0.3320394119872412,1.0,0.1767681723446462,0.3609473435973452,0.4703028669608867,0.3563633181814,5,5,GOOGL,1
604800.0,1.0,1.0,1.0,0.3408733207383438,1.0,0.2558269012713102,-0.3169929621364749,0.486263066123393,0.314656279709037,6,6,GOOGL,4
345600.0,-0.4663381488937591,0.4663381488937591,-1.0,0.4085565703302022,1.0,1.533661851106241,0.706697006237506,0.4311009979208313,0.4197151553633454,7,3,GOOGL,8
86400.0,1.0,1.0,1.0,0.5,1.0,0.0,-1.0,0.5,0.5,8,2,GOOGL,0
691200.0,1.0,1.0,1.0,0.3431948931720034,1.0,0.1893249314115706,0.7248183706657256,0.33185767349181,0.2989303826389701,9,7,GOOGL,4
86400.0,-1.0,1.0,-1.0,0.5,1.0,0.0,-1.0,0.5,0.5,10,2,GOOGL,7
259200.0,1.0,1.0,1.0,0.5,1.0,0.0,-1.0,0.5,0.5,11,2,GOOGL,0
691200.0,0.5511986573701195,0.5511986573701195,1.0,0.3460106756369062,1.0,0.76819285998029,-0.5737472232639991,0.6019807040030333,0.2888613136337853,12,7,GOOGL,5
259200.0,-1.0,1.0,-1.0,0.404947552353357,1.0,0.3194610738255026,1.0,0.5600291399479886,0.3848580308872509,13,4,GOOGL,2
259200.0,1.0,1.0,1.0,0.5,1.0,0.0,1.0,0.5,0.5,14,2,GOOGL,0
172800.0,0.913248651817112,0.913248651817112,1.0,0.4523456024444291,1.0,1.086751348182888,0.8155744162351236,0.3948085279216255,0.4345079495966645,15,3,GOOGL,6
